X,l_3,l_1,l_2
-3,0.004431848,,
-2.9,0.005952532,,
-2.8,0.007915452,,
-2.7,0.010420935,,
-2.6,0.013582969,,
-2.5,0.0175283,,
-2.4,0.02239453,,
-2.3,0.028327038,,
-2.2,0.035474593,,
-2.1,0.043983596,,
-2,0.053990967,,0.053990967
-1.9,0.065615815,,0.065615815
-1.8,0.078950158,,0.078950158
-1.7,0.094049077,,0.094049077
-1.6,0.110920835,,0.110920835
-1.5,0.129517596,,0.129517596
-1.4,0.149727466,,0.149727466
-1.3,0.171368592,,0.171368592
-1.2,0.194186055,,0.194186055
-1.1,0.217852177,,0.217852177
-1,0.241970725,0.241970725,0.241970725
-0.9,0.26608525,0.26608525,0.26608525
-0.8,0.289691553,0.289691553,0.289691553
-0.7,0.312253933,0.312253933,0.312253933
-0.6,0.333224603,0.333224603,0.333224603
-0.5,0.352065327,0.352065327,0.352065327
-0.4,0.36827014,0.36827014,0.36827014
-0.3,0.381387815,0.381387815,0.381387815
-0.2,0.391042694,0.391042694,0.391042694
-0.1,0.396952547,0.396952547,0.396952547
0,0.39894228,0.39894228,0.39894228
0.1,0.396952547,0.396952547,0.396952547
0.2,0.391042694,0.391042694,0.391042694
0.3,0.381387815,0.381387815,0.381387815
0.4,0.36827014,0.36827014,0.36827014
0.5,0.352065327,0.352065327,0.352065327
0.6,0.333224603,0.333224603,0.333224603
0.7,0.312253933,0.312253933,0.312253933
0.8,0.289691553,0.289691553,0.289691553
0.9,0.26608525,0.26608525,0.26608525
1,0.241970725,0.241970725,0.241970725
1.1,0.217852177,,0.217852177
1.2,0.194186055,,0.194186055
1.3,0.171368592,,0.171368592
1.4,0.149727466,,0.149727466
1.5,0.129517596,,0.129517596
1.6,0.110920835,,0.110920835
1.7,0.094049077,,0.094049077
1.8,0.078950158,,0.078950158
1.9,0.065615815,,0.065615815
2,0.053990967,,0.053990967
2.1,0.043983596,,
2.2,0.035474593,,
2.3,0.028327038,,
2.4,0.02239453,,
2.5,0.0175283,,
2.6,0.013582969,,
2.7,0.010420935,,
2.8,0.007915452,,
2.9,0.005952532,,
3,0.004431848,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
-2,0.053990967,,
-1.9,0.065615815,,
-1.8,0.078950158,,
-1.7,0.094049077,,
-1.6,0.110920835,,
-1.5,0.129517596,,
-1.4,0.149727466,,
-1.3,0.171368592,,
-1.2,0.194186055,,
-1.1,0.217852177,,
-1,0.241970725,,
-0.9,0.26608525,,
-0.8,0.289691553,,
-0.7,0.312253933,,
-0.6,0.333224603,,
-0.5,0.352065327,,
-0.4,0.36827014,,
-0.3,0.381387815,,
-0.2,0.391042694,,
-0.1,0.396952547,,
0,0.39894228,,
0.1,0.396952547,,
0.2,0.391042694,,
0.3,0.381387815,,
0.4,0.36827014,,
0.5,0.352065327,,
0.6,0.333224603,,
0.7,0.312253933,,
0.8,0.289691553,,
0.9,0.26608525,,
1,0.241970725,,
1.1,0.217852177,,
1.2,0.194186055,,
1.3,0.171368592,,
1.4,0.149727466,,
1.5,0.129517596,,
1.6,0.110920835,,
1.7,0.094049077,,
1.8,0.078950158,,
1.9,0.065615815,,
2,0.053990967,,
